1001AY38Z	09.12.2022 11.57.48,951000000
1001AY327	08.12.2022 20.10.55,884000000
1001AY326	08.12.2022 20.09.45,871000000
1001AY320	08.12.2022 20.00.21,578000000
1001AY31Z	08.12.2022 20.00.52,922000000
1001AY31U	08.12.2022 19.58.54,565000000
1001AY31R	08.12.2022 19.50.27,982000000
1001AY31Q	08.12.2022 19.46.00,284000000
1001AY31P	08.12.2022 19.38.44,551000000
1001AY31o	08.12.2022 19.40.19,267000000
1001AY31M	08.12.2022 19.38.50,344000000
1001AY31J	08.12.2022 20.05.26,585000000
1001AY31H	08.12.2022 19.37.16,444000000
1001AY31G	08.12.2022 19.24.09,503000000
1001AY31B	08.12.2022 19.31.55,910000000
1001AY317	08.12.2022 19.10.14,683000000
1001AY30Y	08.12.2022 18.50.01,471000000
1001AY30X	08.12.2022 19.00.28,471000000
1001AY30W	08.12.2022 19.04.15,188000000
1001AY30P	08.12.2022 18.33.57,522000000
1001AY30o	08.12.2022 18.49.08,201000000
1001AY30M	08.12.2022 18.29.34,655000000
1001AY30L	08.12.2022 18.27.11,854000000
1001AY30H	08.12.2022 18.22.05,966000000
1001AY30G	08.12.2022 18.14.55,705000000
1001AY30D	08.12.2022 18.08.35,528000000
1001AY307	08.12.2022 18.30.12,877000000
1001AY2ZX	08.12.2022 17.44.37,040000000
1001AY2ZV	08.12.2022 17.45.22,220000000
1001AY2ZU	08.12.2022 17.55.26,054000000
1001AY2ZR	08.12.2022 17.35.04,036000000
1001AY2Zo	08.12.2022 17.35.57,870000000
1001AY2ZN	08.12.2022 17.29.26,109000000
1001AY2ZJ	08.12.2022 17.17.16,760000000
1001AY2Zi	08.12.2022 17.16.21,889000000
1001AY2ZH	09.12.2022 09.16.05,163000000
1001AY2ZD	08.12.2022 17.16.07,874000000
1001AY2ZC	08.12.2022 17.03.40,911000000
1001AY2ZB	08.12.2022 17.36.25,687000000
1001AY2Z7	08.12.2022 17.08.12,636000000
1001AY2Z6	08.12.2022 16.55.15,126000000
1001AY2YZ	08.12.2022 17.17.18,101000000
1001AY2YY	08.12.2022 16.52.25,426000000
1001AY2YX	08.12.2022 17.12.55,741000000
1001AY2YL	08.12.2022 16.31.13,336000000
1001AY2YJ	08.12.2022 16.33.16,238000000
1001AY2YA	08.12.2022 16.03.54,105000000
1001AY2XY	08.12.2022 16.02.02,738000000
1001AY2XV	08.12.2022 15.47.00,734000000
1001AY2XR	08.12.2022 15.43.53,057000000
1001AY2XG	08.12.2022 15.37.39,797000000
1001AY2XF	08.12.2022 15.40.24,885000000
1001AY2XE	08.12.2022 15.42.35,650000000
1001AY2XD	08.12.2022 15.29.18,832000000
1001AY2XA	08.12.2022 15.55.30,981000000
1001AY2WW	08.12.2022 15.20.56,491000000
1001AY2WP	08.12.2022 15.26.00,036000000
1001AY2Wo	08.12.2022 15.11.41,871000000
1001AY2WN	08.12.2022 15.26.00,141000000
1001AY2WK	08.12.2022 15.20.49,622000000
1001AY2WF	08.12.2022 15.26.20,092000000
1001AY2WE	08.12.2022 15.05.35,803000000
1001AY2WD	08.12.2022 15.04.23,809000000
1001AY2W2	08.12.2022 14.54.51,108000000
1001AY2W1	08.12.2022 14.51.54,175000000
1001AY2VJ	08.12.2022 17.10.47,310000000
1001AY2VG	08.12.2022 23.51.27,460000000
1001AY2VF	09.12.2022 01.48.57,628000000
1001AY2V9	08.12.2022 14.34.02,038000000
1001AY2V4	08.12.2022 14.31.45,176000000
1001AY2V3	08.12.2022 14.22.50,791000000
1001AY2V0	08.12.2022 14.23.41,692000000
1001AY2UW	08.12.2022 14.15.11,856000000
1001AY2UV	08.12.2022 14.26.15,419000000
1001AY2UQ	08.12.2022 14.29.12,183000000
1001AY2UP	08.12.2022 14.12.32,367000000
1001AY2UM	08.12.2022 14.16.48,081000000
1001AY2UL	08.12.2022 14.07.37,735000000
1001AY2UK	08.12.2022 14.20.14,908000000
1001AY2UJ	08.12.2022 14.24.05,796000000
1001AY2UE	08.12.2022 14.02.13,544000000
1001AY2UA	08.12.2022 14.03.25,175000000
1001AY2U8	08.12.2022 13.59.05,943000000
1001AY2TZ	08.12.2022 14.08.02,228000000
1001AY2TX	08.12.2022 13.54.40,613000000
1001AY2TV	08.12.2022 13.54.46,836000000
1001AY2TU	08.12.2022 14.05.10,282000000
1001AY2TT	08.12.2022 14.03.08,590000000
1001AY2TS	08.12.2022 14.17.04,584000000
1001AY2TQ	08.12.2022 14.09.10,041000000
1001AY2TL	08.12.2022 13.51.59,861000000
1001AY2TK	08.12.2022 13.45.58,460000000
1001AY2TJ	08.12.2022 13.45.25,354000000
1001AY2Ti	08.12.2022 13.45.31,718000000
1001AY2TG	08.12.2022 13.55.02,764000000
1001AY2TE	08.12.2022 13.44.17,857000000
1001AY2TD	08.12.2022 13.47.34,989000000
1001AY2T9	08.12.2022 13.45.17,391000000
1001AY2T8	08.12.2022 13.44.51,399000000
1001AY2T5	08.12.2022 13.41.26,827000000
1001AY2T4	08.12.2022 13.55.57,630000000
1001AY2T2	08.12.2022 13.48.28,963000000
1001AY2SX	08.12.2022 13.35.28,019000000
1001AY2SW	08.12.2022 13.34.45,365000000
1001AY2SU	08.12.2022 13.35.31,393000000
1001AY2ST	08.12.2022 13.57.03,927000000
1001AY2SS	08.12.2022 13.37.58,758000000
1001AY2SN	08.12.2022 13.29.38,517000000
1001AY2SM	08.12.2022 13.32.57,195000000
1001AY2SG	08.12.2022 13.40.27,799000000
1001AY2SF	08.12.2022 13.21.42,456000000
1001AY2SB	08.12.2022 13.52.42,311000000
1001AY2S0	08.12.2022 13.20.54,541000000
1001AY2RZ	08.12.2022 13.11.01,148000000
1001AY2RX	08.12.2022 13.35.12,195000000
1001AY2RW	08.12.2022 13.08.02,564000000
1001AY2RV	08.12.2022 13.08.02,461000000
1001AY2RP	08.12.2022 13.09.29,332000000
1001AY2Ro	08.12.2022 13.08.12,145000000
1001AY2RJ	08.12.2022 13.01.55,986000000
1001AY2RH	08.12.2022 12.57.48,021000000
1001AY2RF	08.12.2022 13.30.58,183000000
1001AY2RD	08.12.2022 12.58.37,433000000
1001AY2RC	08.12.2022 12.55.58,249000000
1001AY2RB	08.12.2022 12.56.28,210000000
1001AY2RA	08.12.2022 12.52.40,102000000
1001AY2R8	08.12.2022 12.48.06,719000000
1001AY2R5	08.12.2022 12.53.22,000000000
1001AY2R2	08.12.2022 12.47.21,427000000
1001AY2QW	08.12.2022 12.35.32,983000000
1001AY2QV	08.12.2022 12.33.07,526000000
1001AY2QT	08.12.2022 12.39.49,768000000
1001AY2QR	08.12.2022 12.53.02,292000000
1001AY2Qo	08.12.2022 12.30.31,916000000
1001AY2QM	08.12.2022 12.56.29,538000000
1001AY2QH	08.12.2022 12.29.33,574000000
1001AY2QC	08.12.2022 12.46.53,032000000
1001AY2QA	08.12.2022 12.26.30,561000000
1001AY2Q7	08.12.2022 12.34.11,512000000
1001AY2Q5	08.12.2022 12.20.15,657000000
1001AY2Q3	08.12.2022 12.19.13,816000000
1001AY2Q2	08.12.2022 12.11.29,219000000
1001AY2Q1	08.12.2022 12.09.53,928000000
1001AY2Q0	08.12.2022 12.08.16,096000000
1001AY2PY	08.12.2022 12.22.41,149000000
1001AY2PW	08.12.2022 12.07.04,171000000
1001AY2Po	08.12.2022 11.56.12,442000000
1001AY2PK	08.12.2022 12.00.09,247000000
1001AY2PJ	08.12.2022 11.53.31,497000000
1001AY2Pi	08.12.2022 12.01.29,611000000
1001AY2PG	08.12.2022 11.50.32,521000000
1001AY2PE	08.12.2022 11.54.30,020000000
1001AY2PC	08.12.2022 11.52.37,332000000
1001AY2PB	08.12.2022 11.46.18,133000000
1001AY2PA	08.12.2022 11.50.55,165000000
1001AY2P9	08.12.2022 11.44.57,399000000
1001AY2P1	08.12.2022 11.50.22,519000000
1001AY2oY	08.12.2022 11.40.45,077000000
1001AY2oW	08.12.2022 11.45.31,955000000
1001AY2oR	08.12.2022 12.46.43,022000000
1001AY2oQ	08.12.2022 11.27.06,430000000
1001AY2oM	08.12.2022 11.17.24,623000000
1001AY2oL	08.12.2022 11.16.06,662000000
1001AY2oK	08.12.2022 11.15.21,315000000
1001AY2oG	08.12.2022 11.14.34,502000000
1001AY2oF	08.12.2022 11.03.28,431000000
1001AY2oD	08.12.2022 11.02.33,870000000
1001AY2oA	08.12.2022 11.13.50,020000000
1001AY2o7	08.12.2022 11.14.41,275000000
1001AY2o6	08.12.2022 11.02.13,115000000
1001AY2o2	08.12.2022 11.02.45,833000000
1001AY2NZ	08.12.2022 11.07.13,955000000
1001AY2NY	08.12.2022 11.01.46,190000000
1001AY2NX	08.12.2022 10.56.42,807000000
1001AY2NW	08.12.2022 10.58.44,881000000
1001AY2NJ	08.12.2022 10.55.42,519000000
1001AY2NG	08.12.2022 10.55.51,203000000
1001AY2NE	08.12.2022 10.48.56,313000000
1001AY2ND	08.12.2022 11.19.02,660000000
1001AY2NB	08.12.2022 10.36.25,877000000
1001AY2NA	08.12.2022 10.40.39,143000000
1001AY2N7	08.12.2022 10.36.26,481000000
1001AY2N6	08.12.2022 10.37.03,542000000
1001AY2N5	08.12.2022 10.49.51,596000000
1001AY2N3	08.12.2022 10.53.58,568000000
1001AY2MY	08.12.2022 10.32.48,635000000
1001AY2MX	08.12.2022 10.42.50,843000000
1001AY2MV	08.12.2022 10.31.31,173000000
1001AY2MT	08.12.2022 10.28.38,098000000
1001AY2MQ	08.12.2022 10.29.10,072000000
1001AY2MN	08.12.2022 10.22.14,450000000
1001AY2MJ	08.12.2022 12.44.56,869000000
1001AY2Mi	08.12.2022 10.14.07,513000000
1001AY2MF	08.12.2022 10.10.20,634000000
1001AY2MC	08.12.2022 10.06.03,148000000
1001AY2MA	08.12.2022 10.06.54,599000000
1001AY2M9	08.12.2022 09.58.26,408000000
1001AY2M8	08.12.2022 09.55.29,122000000
1001AY2M7	08.12.2022 09.53.27,495000000
1001AY2M6	08.12.2022 21.19.48,180000000
1001AY2M5	08.12.2022 10.05.34,791000000
1001AY2M2	08.12.2022 09.47.11,937000000
1001AY2M0	08.12.2022 09.56.04,239000000
1001AY2LX	08.12.2022 10.36.59,301000000
1001AY2LV	08.12.2022 09.40.29,978000000
1001AY2LQ	08.12.2022 09.37.50,024000000
1001AY2Lo	08.12.2022 09.29.26,991000000
1001AY2LK	08.12.2022 09.28.16,452000000
1001AY2LJ	08.12.2022 09.38.15,264000000
1001AY2LH	08.12.2022 09.21.33,387000000
1001AY2LG	08.12.2022 09.19.22,853000000
1001AY2L7	08.12.2022 09.48.05,802000000
1001AY2L5	08.12.2022 09.28.59,529000000
1001AY2L4	08.12.2022 09.10.53,962000000
1001AY2L3	08.12.2022 09.21.38,154000000
1001AY2KY	08.12.2022 08.52.12,447000000
1001AY2KX	08.12.2022 08.48.33,425000000
1001AY2KW	08.12.2022 08.42.14,369000000
1001AY2KU	08.12.2022 08.38.51,970000000
1001AY2KR	08.12.2022 08.46.21,019000000
1001AY2KK	08.12.2022 08.35.35,901000000
1001AY2KC	08.12.2022 08.11.00,111000000
1001AY2KB	08.12.2022 08.01.48,300000000
1001AY2K8	08.12.2022 07.52.08,716000000
1001AY2K7	08.12.2022 07.41.53,828000000
1001AY2K6	08.12.2022 07.46.52,186000000
1001AY2K5	08.12.2022 07.30.46,452000000
1001AY2K4	08.12.2022 07.39.24,238000000
1001AY2K2	08.12.2022 06.46.49,578000000
1001AY2JX	08.12.2022 06.22.27,685000000
1001AY2JW	08.12.2022 06.09.36,512000000
1001AY2JS	08.12.2022 04.44.04,936000000
1001AY2JP	08.12.2022 03.02.24,797000000
1001AY2J6	08.12.2022 00.56.27,335000000
1001AY2iZ	08.12.2022 01.16.31,304000000
1001AY2iY	08.12.2022 00.22.03,954000000
1001AY2iX	08.12.2022 00.21.09,613000000
1001AY2iT	08.12.2022 00.11.56,931000000
1001AY2iL	08.12.2022 00.02.01,296000000
1001AY2iC	07.12.2022 23.29.14,020000000
1001AY2iA	07.12.2022 23.15.06,745000000
1001AY2i6	07.12.2022 23.08.56,039000000
1001AY2i5	07.12.2022 22.56.16,929000000
1001AY2i4	07.12.2022 22.54.00,235000000
1001AY2i1	07.12.2022 22.52.28,841000000
1001AY2HY	07.12.2022 22.38.59,387000000
1001AY2HX	07.12.2022 22.50.06,302000000
1001AY2HS	07.12.2022 22.36.48,528000000
1001AY2HR	07.12.2022 22.32.54,617000000
1001AY2HQ	07.12.2022 22.33.07,946000000
1001AY2HJ	07.12.2022 22.26.49,288000000
1001AY2HD	07.12.2022 22.30.07,691000000
1001AY2HC	07.12.2022 21.57.15,433000000
1001AY2H5	07.12.2022 21.42.57,358000000
1001AY2H0	07.12.2022 21.31.49,515000000
1001AY2GR	07.12.2022 21.23.02,034000000
1001AY2GQ	07.12.2022 21.13.02,423000000
1001AY2GP	07.12.2022 21.21.00,900000000
1001AY2Go	07.12.2022 21.04.22,011000000
1001AY2GL	07.12.2022 21.06.20,739000000
1001AY2GK	07.12.2022 21.13.55,625000000
1001AY2GJ	07.12.2022 21.13.36,105000000
1001AY2GC	07.12.2022 21.13.08,902000000
1001AY2GB	07.12.2022 20.53.52,593000000
1001AY2GA	07.12.2022 20.49.23,965000000
1001AY2G7	07.12.2022 20.44.24,628000000
1001AY2G4	07.12.2022 21.27.16,107000000
1001AY2FY	07.12.2022 20.21.52,742000000
1001AY2FR	07.12.2022 20.12.14,261000000
1001AY2Fo	07.12.2022 20.02.05,232000000
1001AY2FM	07.12.2022 20.25.03,879000000
1001AY2FL	07.12.2022 19.55.54,659000000
1001AY2FG	07.12.2022 19.49.45,042000000
1001AY2FF	07.12.2022 19.49.19,845000000
1001AY2FD	07.12.2022 19.45.14,485000000
1001AY2FB	07.12.2022 19.46.00,986000000
1001AY2F9	07.12.2022 19.46.52,149000000
1001AY2F6	07.12.2022 19.59.51,533000000
1001AY2ES	07.12.2022 19.27.30,033000000
1001AY2Eo	07.12.2022 19.18.21,866000000
1001AY2EL	07.12.2022 19.05.17,537000000
1001AY2EJ	07.12.2022 19.07.16,064000000
1001AY2EG	07.12.2022 19.11.25,721000000
1001AY2EE	07.12.2022 18.58.29,151000000
1001AY2E4	07.12.2022 18.45.53,006000000
1001AY2DZ	07.12.2022 18.27.12,372000000
1001AY2DV	07.12.2022 18.02.02,263000000
1001AY2DU	07.12.2022 18.10.43,858000000
1001AY2DS	07.12.2022 17.58.12,281000000
1001AY2DP	07.12.2022 17.53.54,746000000
1001AY2DN	07.12.2022 17.45.32,108000000
1001AY2DH	07.12.2022 17.33.58,972000000
1001AY2DE	07.12.2022 18.31.31,647000000
1001AY2DC	07.12.2022 17.25.19,946000000
1001AY2DB	07.12.2022 17.34.13,111000000
1001AY2DA	07.12.2022 17.20.47,101000000
1001AY2D9	07.12.2022 17.53.52,470000000
1001AY2D6	07.12.2022 17.17.37,819000000
1001AY2D3	07.12.2022 17.17.17,579000000
1001AY2D0	07.12.2022 17.11.55,267000000
1001AY2CS	07.12.2022 16.59.51,984000000
1001AY2CQ	07.12.2022 16.56.42,300000000
1001AY2Ci	07.12.2022 16.39.51,873000000
1001AY2CH	07.12.2022 16.45.41,737000000
1001AY2CF	07.12.2022 16.38.07,868000000
1001AY2CE	07.12.2022 16.40.45,894000000
1001AY2CC	07.12.2022 16.35.10,863000000
1001AY2CA	07.12.2022 16.26.54,476000000
1001AY2C7	07.12.2022 16.23.31,386000000
1001AY2C2	07.12.2022 16.15.38,702000000
1001AY2BZ	07.12.2022 16.13.04,924000000
1001AY2BT	07.12.2022 16.08.34,243000000
1001AY2BK	07.12.2022 16.02.21,896000000
1001AY2Bi	07.12.2022 15.57.30,595000000
1001AY2BC	07.12.2022 16.00.27,201000000
1001AY2B8	07.12.2022 15.52.56,001000000
1001AY2B5	07.12.2022 16.01.54,469000000
1001AY2AZ	07.12.2022 15.48.09,911000000
1001AY2AT	07.12.2022 15.41.05,123000000
1001AY2AQ	07.12.2022 16.02.50,050000000
1001AY2AP	07.12.2022 15.29.50,894000000
1001AY2AK	07.12.2022 15.31.46,253000000
1001AY2Ai	07.12.2022 15.31.38,274000000
1001AY2AF	09.12.2022 11.49.46,599000000
1001AY2AD	07.12.2022 15.18.42,498000000
1001AY2AB	07.12.2022 15.11.16,491000000
1001AY2AA	07.12.2022 15.11.15,698000000
1001AY2A4	07.12.2022 15.06.47,313000000
1001AY2A3	07.12.2022 15.05.29,555000000
1001AY29Z	07.12.2022 15.03.05,345000000
1001AY29Y	07.12.2022 14.59.36,896000000
1001AY29X	08.12.2022 17.00.39,763000000
1001AY29T	07.12.2022 14.53.39,486000000
1001AY29S	07.12.2022 14.52.47,480000000
1001AY29R	07.12.2022 14.54.27,620000000
1001AY29Q	07.12.2022 15.12.47,564000000
1001AY29K	07.12.2022 15.02.29,935000000
1001AY29F	07.12.2022 14.46.45,094000000
1001AY29D	07.12.2022 14.50.38,148000000
1001AY294	07.12.2022 14.40.28,269000000
1001AY293	07.12.2022 15.10.44,953000000
1001AY290	07.12.2022 14.36.46,004000000
1001AY28Z	07.12.2022 14.44.48,923000000
1001AY28W	07.12.2022 14.33.18,964000000
1001AY28T	08.12.2022 16.44.18,646000000
1001AY28R	07.12.2022 14.42.02,292000000
1001AY28M	07.12.2022 14.23.40,729000000
1001AY28G	07.12.2022 14.19.21,614000000
1001AY28F	07.12.2022 14.15.54,166000000
1001AY289	07.12.2022 14.20.19,752000000
1001AY288	07.12.2022 14.10.51,339000000
1001AY287	07.12.2022 14.15.42,223000000
1001AY286	07.12.2022 14.31.28,071000000
1001AY285	07.12.2022 14.14.07,745000000
1001AY284	07.12.2022 14.05.05,467000000
1001AY281	07.12.2022 14.01.16,044000000
1001AY27V	07.12.2022 13.53.51,337000000
1001AY27U	07.12.2022 14.02.43,603000000
1001AY27T	07.12.2022 13.51.24,009000000
1001AY27Q	07.12.2022 13.51.19,828000000
1001AY27L	07.12.2022 13.42.41,798000000
1001AY27K	07.12.2022 13.42.48,415000000
1001AY27i	07.12.2022 13.43.29,824000000
1001AY27F	07.12.2022 13.39.02,583000000
1001AY27E	07.12.2022 13.44.39,140000000
1001AY27B	07.12.2022 13.45.38,559000000
1001AY27A	07.12.2022 13.47.01,028000000
1001AY26X	07.12.2022 13.29.13,795000000
1001AY26R	07.12.2022 13.31.26,609000000
1001AY26o	07.12.2022 13.24.44,108000000
1001AY26L	07.12.2022 13.26.44,389000000
1001AY26i	07.12.2022 13.22.47,914000000
1001AY26G	07.12.2022 13.48.57,774000000
1001AY26E	07.12.2022 13.18.12,545000000
1001AY26B	07.12.2022 13.33.10,019000000
1001AY26A	07.12.2022 13.15.57,783000000
1001AY268	07.12.2022 13.14.51,258000000
1001AY25R	07.12.2022 13.08.23,116000000
1001AY25o	07.12.2022 13.57.02,666000000
1001AY25J	07.12.2022 13.01.54,981000000
1001AY25C	07.12.2022 13.33.45,934000000
1001AY25B	07.12.2022 13.02.58,511000000
1001AY257	07.12.2022 12.52.39,786000000
1001AY251	07.12.2022 12.48.22,681000000
1001AY250	07.12.2022 12.50.56,611000000
1001AY24Z	07.12.2022 12.47.38,440000000
1001AY24Y	07.12.2022 12.57.21,834000000
1001AY24V	07.12.2022 12.49.34,554000000
1001AY24T	07.12.2022 12.47.01,961000000
1001AY24P	07.12.2022 12.39.49,698000000
1001AY24o	07.12.2022 12.44.30,299000000
1001AY24M	07.12.2022 12.39.45,212000000
1001AY24L	07.12.2022 12.39.36,208000000
1001AY24G	07.12.2022 12.53.49,256000000
1001AY24F	07.12.2022 12.38.15,361000000
1001AY24B	07.12.2022 13.39.47,473000000
1001AY248	07.12.2022 12.34.00,408000000
1001AY247	07.12.2022 12.28.11,262000000
1001AY246	07.12.2022 12.23.37,893000000
1001AY245	07.12.2022 12.23.23,968000000
1001AY241	07.12.2022 12.18.30,083000000
1001AY23X	07.12.2022 12.13.57,085000000
1001AY23W	07.12.2022 12.13.52,802000000
1001AY23T	07.12.2022 12.38.37,378000000
1001AY23S	07.12.2022 12.12.15,985000000
1001AY23P	07.12.2022 12.17.20,996000000
1001AY23N	07.12.2022 12.17.23,867000000
1001AY23M	07.12.2022 12.14.10,166000000
1001AY23K	07.12.2022 12.11.26,703000000
1001AY23F	07.12.2022 12.15.10,524000000
1001AY23E	07.12.2022 11.57.49,784000000
1001AY23C	07.12.2022 11.54.19,742000000
1001AY239	07.12.2022 11.46.10,313000000
1001AY238	07.12.2022 11.47.53,922000000
1001AY22V	07.12.2022 11.43.47,863000000
1001AY22T	07.12.2022 19.27.28,944000000
1001AY22R	07.12.2022 11.31.28,858000000
1001AY22P	07.12.2022 11.30.18,199000000
1001AY22o	07.12.2022 11.37.18,312000000
1001AY22K	07.12.2022 11.28.57,837000000
1001AY22H	07.12.2022 11.43.29,598000000
1001AY22G	07.12.2022 11.30.50,243000000
1001AY22F	07.12.2022 11.24.45,678000000
1001AY22D	07.12.2022 11.25.05,993000000
1001AY22C	07.12.2022 11.22.38,845000000
1001AY22B	07.12.2022 11.29.30,617000000
1001AY22A	07.12.2022 11.26.47,129000000
1001AY224	07.12.2022 11.18.15,613000000
1001AY21W	07.12.2022 11.14.19,567000000
1001AY21S	07.12.2022 12.29.57,468000000
1001AY21R	07.12.2022 19.40.19,286000000
1001AY21P	07.12.2022 11.09.26,685000000
1001AY21M	07.12.2022 11.04.18,961000000
1001AY21K	07.12.2022 11.06.36,911000000
1001AY21i	07.12.2022 11.01.10,208000000
1001AY21E	09.12.2022 00.22.58,550000000
1001AY21D	07.12.2022 10.55.50,916000000
1001AY219	07.12.2022 10.52.36,275000000
1001AY217	07.12.2022 10.49.41,295000000
1001AY216	07.12.2022 10.50.33,086000000
1001AY213	07.12.2022 10.48.32,922000000
1001AY212	07.12.2022 10.47.23,718000000
1001AY211	07.12.2022 10.53.35,983000000
1001AY210	07.12.2022 10.33.32,643000000
1001AY20W	07.12.2022 10.33.58,057000000
1001AY20V	07.12.2022 10.28.54,865000000
1001AY20T	07.12.2022 10.27.32,537000000
1001AY20S	07.12.2022 10.29.07,039000000
1001AY20R	07.12.2022 10.27.27,459000000
1001AY20M	08.12.2022 09.39.03,565000000
1001AY20L	07.12.2022 10.25.44,128000000
1001AY20K	07.12.2022 10.30.56,500000000
1001AY20J	07.12.2022 10.31.45,748000000
1001AY20H	07.12.2022 10.26.36,818000000
1001AY20B	07.12.2022 10.20.59,303000000
1001AY207	07.12.2022 10.15.30,663000000
1001AY203	07.12.2022 10.14.49,183000000
1001AY1ZR	07.12.2022 10.30.06,420000000
1001AY1ZQ	07.12.2022 09.59.10,953000000
1001AY1Zo	07.12.2022 10.15.54,832000000
1001AY1ZN	07.12.2022 09.57.19,665000000
1001AY1ZM	07.12.2022 09.56.58,467000000
1001AY1ZL	07.12.2022 10.01.24,273000000
1001AY1ZK	07.12.2022 09.53.51,561000000
1001AY1Zi	07.12.2022 09.47.16,654000000
1001AY1ZF	07.12.2022 09.47.12,091000000
1001AY1ZD	07.12.2022 09.44.49,663000000
1001AY1Z7	07.12.2022 09.46.36,981000000
1001AY1Z5	07.12.2022 09.39.30,922000000
1001AY1Z4	07.12.2022 09.46.33,961000000
1001AY1Z0	07.12.2022 09.42.45,474000000
1001AY1YY	07.12.2022 09.30.04,052000000
1001AY1YX	07.12.2022 09.30.23,290000000
1001AY1YW	07.12.2022 13.35.26,729000000
1001AY1YT	07.12.2022 09.24.42,645000000
1001AY1YP	07.12.2022 09.13.11,908000000
1001AY1YH	07.12.2022 09.07.05,808000000
1001AY1YG	07.12.2022 09.09.44,964000000
1001AY1YF	07.12.2022 09.09.57,448000000
